route,canonical_route,alias_group_size,route_type,source_file,line,block_start_line,aliases
bilibili://charge/comment-success,bilibili://charge/comment-success,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/y5.smali,420,416,"[""bilibili://charge/comment-success""]"
bilibili://charge/rank,bilibili://auth/rank,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/y5.smali,571,563,"[""bilibili://auth/rank"", ""bilibili://charge/rank""]"
bilibili://charge/success,bilibili://charge/success,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/y5.smali,497,493,"[""bilibili://charge/success""]"
bilibili://charge/video-rank,bilibili://charge/video-rank,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/y5.smali,637,633,"[""bilibili://charge/video-rank""]"
bilibili://cheese/pay,bilibili://cheese/pay,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ra.smali,159,155,"[""bilibili://cheese/pay""]"
bilibili://cheese/pay-guide,bilibili://cheese/pay-guide,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ra.smali,235,231,"[""bilibili://cheese/pay-guide""]"
bilibili://cheese/season/ep/{epid},(http|https)://m.bilibili.com/cheese/play/series{series_id},11,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vx.smali,397,373,"[""(http|https)://m.bilibili.com/cheese/play/series{series_id}"", ""(http|https)://www.bilibili.com/cheese/play/series{series_id}"", ""bilibili://united_video"", ""bilibili://united_video/**"", ""bilibili://cheese/season/{season_id}"", ""bilibili://cheese/season/ep/{epid}"", ""(http|https)://www.bilibili.com/cheese/play/ss{season_id}"", ""(http|https)://www.bilibili.com/cheese/play/ep{epid}"", ""(http|https)://m.bilibili.com/cheese/play/ss{season_id}"", ""(http|https)://m.bilibili.com/cheese/play/ep{epid}"", ""(http|https)://m.bilibili.com/cheese/invite/season/{season_id}""]"
bilibili://cheese/season/{season_id},(http|https)://m.bilibili.com/cheese/play/series{series_id},11,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vx.smali,393,373,"[""(http|https)://m.bilibili.com/cheese/play/series{series_id}"", ""(http|https)://www.bilibili.com/cheese/play/series{series_id}"", ""bilibili://united_video"", ""bilibili://united_video/**"", ""bilibili://cheese/season/{season_id}"", ""bilibili://cheese/season/ep/{epid}"", ""(http|https)://www.bilibili.com/cheese/play/ss{season_id}"", ""(http|https)://www.bilibili.com/cheese/play/ep{epid}"", ""(http|https)://m.bilibili.com/cheese/play/ss{season_id}"", ""(http|https)://m.bilibili.com/cheese/play/ep{epid}"", ""(http|https)://m.bilibili.com/cheese/invite/season/{season_id}""]"
bilibili://cheese/web,bilibili://cheese/web,1,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,3575,3571,"[""bilibili://cheese/web""]"
bilibili://chronos/runpackage,bilibili://chronos/runpackage,3,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/dh.smali,178,174,"[""bilibili://chronos/runpackage"", ""bilibili://br"", ""bilibili://bili-room/main""]"
